10.140.0.153,Проспект Победы,46,Mikrotik Wireless 60G
10.144.0.62,,Mikrotik Wireless 60G,
10.162.0.105,60480,Mikrotik Wireless 60G,
10.162.0.106,60480,Mikrotik Wireless 60G,
10.162.0.109,def pas: baed-68ed Настя 64800,Mikrotik Wireless 60G,
10.162.0.110,64800,Mikrotik Wireless 60G,
10.162.0.113,64800,Mikrotik Wireless 60G,
10.162.0.114,64800,Mikrotik Wireless 60G,
10.162.0.108,58320,Mikrotik Wireless 60G,
10.162.0.107,58320,Mikrotik Wireless 60G,
10.143.0.239,,Mikrotik Stx6,
10.157.0.252,,Mikrotik Dyne Dish 6,
10.157.0.19,,Mikrotik Dyne Dish 6,
10.128.0.226,,Mikrotik Dyne Dish 6,
10.128.0.229,,Mikrotik Dyne Dish 6,
10.163.0.4,,Mikrotik Wireless 60G,
10.163.0.6,,Mikrotik Wireless 60G,
10.162.0.120,62640,Mikrotik Wireless 60G,
10.162.0.121,62640,Mikrotik Wireless 60G,
10.111.6.48,,Mikrotik Stx6,
10.111.6.49,,Mikrotik Stx6,
10.163.0.232,,Mikrotik Stx6,
10.163.0.231,,Mikrotik Stx6,
10.162.0.112,старые,Mikrotik Wireless 60G,
10.162.0.111,старые,Mikrotik Wireless 60G,
10.162.0.249,,Mikrotik Wireless 60G,
10.162.0.252,,Mikrotik Wireless 60G,
10.162.0.10,64800,Mikrotik Wireless 60G,
10.162.0.11,64800,Mikrotik Wireless 60G,
10.162.0.161,64800,Mikrotik Wireless 60G,
10.162.0.162,64800,Mikrotik Wireless 60G,
10.162.0.165,58320,Mikrotik Wireless 60G,
10.162.0.166,58320,Mikrotik Wireless 60G,
10.128.0.209,Подцеплена на 0.57 антенну,Mikrotik Dyne Dish 6,
10.162.0.163,58320,Mikrotik Wireless 60G,
10.128.0.233,,Mikrotik Dyne Dish 6,
10.141.0.28,,Mikrotik Dyne Dish 6,
10.141.0.29,,Mikrotik Dyne Dish 6,
10.162.0.164,58320,Mikrotik Wireless 60G,
10.151.0.17,,Mikrotik Wireless 60G,
10.151.0.5,,Mikrotik Wireless 60G,
10.157.0.20,,Mikrotik Wireless 60G,
10.163.0.9,,Mikrotik Stx6,
10.163.0.13,,Mikrotik Stx6,
10.162.0.229,62640,Mikrotik Wireless 60G,
